username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-03-29 09:15;2;12;"Bulkang Mayon, ibinaba na sa Alert Level 2 http://bit.ly/2GnelAo # BantayMayon";;;#;"979164991713619968";https://twitter.com/DZMMTeleRadyo/status/979164991713619968
;2018-03-23 12:42;0;0;"# HeadlinePilipinas Phivolcs, nakapagtala ng lava collapse sa Bulkang Mayon # BantayMayon pic.twitter.com/PeRl7Xdd48";;;# #;"977042962789097472";https://twitter.com/DZMMTeleRadyo/status/977042962789097472
;2018-03-23 11:19;5;7;"Nilinaw ng Phivolcs na hindi sumabog ang Bulkang Mayon at lava collapse lamang ang naganap ngayong Biyernes ng umaga. # BantayMayon pic.twitter.com/I84yao9vUE";;;#;"977022019010113536";https://twitter.com/DZMMTeleRadyo/status/977022019010113536
;2018-03-07 16:27;0;0;"# OnTheSpot 50,000 Mayon evacuees, nagsimula nang umuwi; mga lumikas sa Ligao City, unang nakauwi; 2,000 pamilya, nananatili sa evacuation centers # BantayMayon pic.twitter.com/wIl4QNLU90";;;# #;"971301310648774657";https://twitter.com/DZMMTeleRadyo/status/971301310648774657
;2018-03-07 15:15;0;2;"Sinimulan nang pauwiin ang higit 50,000 Mayon evacuees sa kani-kanilang mga tahanan matapos ibaba sa alert level 3 ang bulkan. # HeadlinePilipinas # BantayMayon pic.twitter.com/E4hCIV5fFr";;;# #;"971283180853628928";https://twitter.com/DZMMTeleRadyo/status/971283180853628928
;2018-03-07 12:35;0;0;"# HeadlinePilipinas sa Albay: Higit 50,000 Mayon evacuees, sinimulan pauwiin # BantayMayon pic.twitter.com/H16XpV6tp4";;;# #;"971242829501665281";https://twitter.com/DZMMTeleRadyo/status/971242829501665281
;2018-03-07 00:30;1;6;"Libo-libong mag-aaral sa Albay, nananatiling 'displaced' # BantayMayon http://bit.ly/2FhjPAr";;;#;"971060346793295874";https://twitter.com/TVPatrol/status/971060346793295874
;2018-03-06 19:05;2;5;"# TVPatrol Mga paaralan sa danger zones sa paligid ng Bulkang Mayon, nananatiling sarado # BantayMayon | ulat ni Kabayan Noli de Castro pic.twitter.com/Ng5YRndmj4";;;# #;"970978652249829376";https://twitter.com/TVPatrol/status/970978652249829376
;2018-03-06 14:45;2;2;"Ibinaba na sa alert level 3 status ang Bulkang Mayon ngayong Martes ng hapon, ayon sa Phivolcs, pero hindi pa rin mawawala aniya ang banta ng volcanic eruption. # HeadlinePilipinas # BantayMayon pic.twitter.com/m3rd1fJSVZ";;;# #;"970913333342715904";https://twitter.com/DZMMTeleRadyo/status/970913333342715904
;2018-03-06 12:34;0;0;"# HeadlinePilipinas Phivolcs, ibinaba sa Alert Level 3 ang Bulkang Mayon # BantayMayon pic.twitter.com/vjkNbYXRJ7";;;# #;"970880236274380800";https://twitter.com/DZMMTeleRadyo/status/970880236274380800
