username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-03-27 11:03;5;3;"Patuloy pa din po ang pagtutulungan ng DSWD, LGUs, NGOs at ibang Humanitarian Assistance Providers para mabigyan ng relief assistance ang mga residenteng apektado ng # MayonEruption. # DSWDMayMalasakit # DSWDParaSaNakararami # ReliefPH @ dswdfo5pic.twitter.com/vA0fBWdIxI";;@;# # # #;"978467586915549184";https://twitter.com/dswdserves/status/978467586915549184
;2018-03-02 10:16;0;0;"FIRST TIME: RELIEF GOODS UNBOXING # MayonEruption: http://youtu.be/VN0EcS6eSTg?a sa pamamagitan ng @ YouTube";;@;#;"969395887364505600";https://twitter.com/Imarkdave/status/969395887364505600
;2018-02-27 13:44;0;1;"Relief operations in Ligao City reached over a thousand kits and families # MayonEruption pic.twitter.com/nPyVNzO9px";;;#;"968361256502681600";https://twitter.com/EducoPH/status/968361256502681600
;2018-02-26 22:41;0;0;"World Vision Philippines provides emergency essentials to 2,000 families in Albay World Vision # lifeisbeyeeutiful # worldvision # outreach # hygienekit # mayonvolcano # mayoneruption # guinobatan # albay # reliefoperationhttps://lnkd.in/fTQnM8q";;;# # # # # # # # #;"968134005643071488";https://twitter.com/beyeeutiful/status/968134005643071488
;2018-02-26 22:37;0;0;"World Vision Reaches Out to 2,000 Families in Albay https://lifeisbeyeeutiful.com/2018/02/08/world-vision-reaches-out-to-2000-families-in-albay/ … via @ beyeeutiful @ worldvisionph @ prworksph # lifeisbeyeeutiful # worldvision # outreach # hygienekit # mayonvolcano # mayoneruption # guinobatan # albay # reliefoperation";;@ @ @;# # # # # # # # #;"968133035735449600";https://twitter.com/beyeeutiful/status/968133035735449600
;2018-02-26 10:42;0;1;"Teachers start training today on administering Psychological First Aid for children # MayonEruption pic.twitter.com/6yDfNZvBJx";;;#;"967953077008351232";https://twitter.com/EducoPH/status/967953077008351232
;2018-02-14 22:42;0;1;"This met me when we landed at Legazpi AirPort last Saturday # Mayoneruption pic.twitter.com/GaS2yqryLM";;;#;"963785531849977857";https://twitter.com/isahvred/status/963785531849977857
;2018-02-13 09:11;0;0;"Play and learning sessions at @ EducoPH- @ ChildFundPh Child-Friendly Spaces are held at least once a week and will run for about six weeks catering to hundreds of displaced children due to # MayonEruption. pic.twitter.com/b6RU1eqjT1";;@ @;#;"963219108547346432";https://twitter.com/EducoPH/status/963219108547346432
;2018-02-12 20:32;0;0;"A boy carries a pail of water at an evacuation center in Sto.Domingo, Albay @philippineexaminer # mayoneruption pic.twitter.com/qhtskNb8Er";;@philippineexaminer;#;"963027978794881024";https://twitter.com/inangmaharangm6/status/963027978794881024
;2018-02-12 16:38;7;7;"Celebrate the love month by helping Filipino families affected and displaced by the # MayonEruption. Volunteer at the DSWD NROC! Interested individuals may register online at http://bit.ly/volunteerdswd # DSWDMayMalasakit # DSWDParaSaNakararamipic.twitter.com/EhJ6BymkxR";;;# # #;"962969043023011840";https://twitter.com/dswdserves/status/962969043023011840
;2018-02-12 13:36;0;3;"Heres the latest disaster response update on the Mayon Phreatomagmatic Eruption as of 11 February 2018, 8PM # DSWDMayMalasakit # DSWDParaSaNakararami # MayonEruption # ReliefPH @ dswdfo5 @ dswd_dromicpic.twitter.com/6ER2bMbZgc";;@ @;# # # #;"962923265457967104";https://twitter.com/dswdserves/status/962923265457967104
;2018-02-11 18:24;1;2;"マヨんボルケーノ空撮 # フィリピンあるある Mayon volcano, Philippines bird's-eye view Volcano at a critical stage # MayonEruption # MayonVolcano # OpenDatapic.twitter.com/t6G9nJRbBF";;;# # # #;"962633458550947840";https://twitter.com/FilipinoAruAru/status/962633458550947840
;2018-02-08 16:56;4;4;"CALL FOR VOLUNTEERS: Celebrate Love Month with those affected by the # MayonEruption in the Bicol Region. For those interested, please coordinate with the DSWD-National Resource Operations Center (NROC) in Pasay City. Maraming Salamat! # DSWDMayMalasakit # DSWDParaSaNakararamipic.twitter.com/XVdMutsntA";;;# # #;"961524066480893952";https://twitter.com/dswdserves/status/961524066480893952
;2018-02-07 02:29;0;0;"(56,000 # People # Flee as # Philippines ...) Top ... - http://xtrenz.com/2018/02/06/56000-people-flee-as-philippines-volcano-spews-lava/ … #2018 # Ash # AshCloud # AshPlume # Asia # Asian # Disaster # Earth # Erupting # Eruption # Erupts # Evacuate # Evacuation # EvacuationCentres # Fire # Gdnpfpnewsworld # LavaFlow # Mayon # MayonEruption # MayonPhilippinespic.twitter.com/UCSiVJk3LM";;;# # # #2018 # # # # # # # # # # # # # # # # # # #;"960943436978270208";https://twitter.com/xtrenz/status/960943436978270208
;2018-02-06 15:16;4;7;"Today we started implementing our response plan by addressing infant and water kit needs for over 300 families in Guinobatan. # BatangPreparadoProtektado # MayonEruption pic.twitter.com/36h0K5MM0w";;;# #;"960774209730355200";https://twitter.com/EducoPH/status/960774209730355200
;2018-02-05 21:00;15;36;"As the Mayon Volcano eruption continues, we're helping families forced to evacuate their homes. We've provided sleeping mats, blankets, mosquito nets, toothbrushes and more. Some families have been at evacuation centres for more than 2 weeks # MayonVolcano # MayonEruption pic.twitter.com/cEvMqTid1N";;;# #;"960498276528263170";https://twitter.com/WorldVision/status/960498276528263170
;2018-02-04 08:40;0;0;"praying for those people in Albay here in Philippines... # pilipino # mayonalbay # mayoneruption https://www.instagram.com/p/BewUfTWnpZ2/";;;# # #;"959949803781345280";https://twitter.com/AndalJames3/status/959949803781345280
;2018-02-03 19:40;0;1;"@ dswdfo5 Disaster Response Update on the # MayonEruption as of February 3, 2018; 12NN # DSWDMayMalasakit # DSWDParaSaNakararamipic.twitter.com/tyS3ZLnbMy";;@;# # #;"959753383165935616";https://twitter.com/dswdserves/status/959753383165935616
;2018-02-03 11:39;0;11;"We arrived at Daraga, Albay at around 5:00 PM on 01/30/2018. At 5:11 PM, we heard and witnessed firsthand the sporadic rumblings and spewing of lava from this magnificent volcano. What a memorable experience! Sometimes, there really is beauty in tragedy. # MayonEruption © Yee pic.twitter.com/M1iFC3gR4n";;;#;"959632428842213377";https://twitter.com/rouxshel/status/959632428842213377
;2018-02-02 20:04;1;1;"Ctto. # MayonEruption # BloodMoon2018pic.twitter.com/apN0zPKx2G";;;# #;"959397138298843136";https://twitter.com/maygomezN/status/959397138298843136
;2018-02-02 18:37;3;5;"DSWD inks agreement with Albay LGUs to implement Cash-for-Work program for Mayon evacuees. | Read full report at http://www.dswd.gov.ph/dswd-inks-agreement-with-albay-lgus-to-implement-cash-for-work-program-for-mayon-evacuees/ … # DSWDMayMalasakit # DSWDParaSaNakararami # MayonEruption pic.twitter.com/yfRw94Qr0M";;;# # #;"959375256296112129";https://twitter.com/dswdserves/status/959375256296112129
;2018-02-02 15:51;0;1;"The best disaster management policy is one that puts poverty eradication as its centerpiece. # MayonEruption https://fb.me/3Dgmvwj9R";;;#;"959333383322009600";https://twitter.com/victorcrumb/status/959333383322009600
;2018-02-02 14:28;0;0;"Mainstream media coverage of # MayonEruption seems a bit too picturesque. Since yesterday, I have been making this... https://fb.me/Kjr3MmMh";;;#;"959312604341551106";https://twitter.com/victorcrumb/status/959312604341551106
;2018-02-02 14:03;0;0;"i maed dis because media coverage of # MayonEruption seems a bit too ... romantic ??? https://fb.me/KGagZUmN";;;#;"959306142542262273";https://twitter.com/victorcrumb/status/959306142542262273
;2018-02-02 12:28;48;261;"Salamat Albay, hanggang sa muli. Thoughts and prayers to those affected by the eruption of Mayon volcano. Dios mabalos. # MayonEruption pic.twitter.com/zZlrOy4fhq";;;#;"959282292500807680";https://twitter.com/raffytima/status/959282292500807680
;2018-02-02 11:15;11;58;"A commercial airliner takes off from Legazpi in Albay as Mayon volcano continues with its cyclical activity, occasionally spewing ash and continuously effusing lava. # MayonEruption pic.twitter.com/r2KjvHvo3k";;;#;"959263962633138178";https://twitter.com/raffytima/status/959263962633138178
;2018-02-01 21:51;0;0;"The Tough 2018 Ford Ranger FX4 tames the feisty Lady Mayon. # roadmonchster # mayoneruption… https://www.instagram.com/p/BeqApHjBLod/";;;# #;"959061740838379525";https://twitter.com/MonchHenares/status/959061740838379525
;2018-02-01 19:34;0;2;"The @ RedCrescentTR ,formally turn-over to the @ philredcross tents that will be use as temporary learning spaces for the displaced students of albay # MayonEruption @ mayonVolcano # mayonPhpic.twitter.com/IZezvOu491";;@ @ @;# #;"959027066913021952";https://twitter.com/iamprincejayr27/status/959027066913021952
;2018-02-01 18:48;3;5;"The ongoing eruption of # MayonVolcano in the Philippines as seen on # Himawari-8 and Suomi NPP sateliite imagery, 22-24 Jan, http://bit.ly/2BKQwj8 # MayonEruption pic.twitter.com/ayIuCWXY8G";;;# # #;"959015655130435584";https://twitter.com/eumetsat_users/status/959015655130435584
