username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-03-10 06:47;0;0;"Not finished yet! # MayonPH pic.twitter.com/2D6ieovOBI";;;#;"972242563460562944";https://twitter.com/Alanis_Paul/status/972242563460562944
;2018-03-09 17:08;6;13;"# FridayFeels The IFRC PH Country Office says farewell to our RDRT from @ PNGRedCross, Oscar Pidian as he ends his mission today in the # Philippines. Oscar helped @ philredcross in the relief ops for the # MayonVolcano response for the past month. Bon boyage! # ReliefPH # MayonPH pic.twitter.com/j93aWUFo0u";;@ @;# # # # #;"972036269466267649";https://twitter.com/MJEvalarosa/status/972036269466267649
;2018-03-09 11:13;2;4;"Altho the alert level over # MayonVolcano fr level 4 to 3, it will be sometime before the displaced families can go back to their homes. To support their growing needs, @ philredcross will be providing cash assistance to displaced fams frm of Sto Domingo # MayonPH # ReliefPHhttps://twitter.com/philredcross/status/971927836675067905 …";;@;# # #;"971947075263905792";https://twitter.com/MJEvalarosa/status/971947075263905792
;2018-03-09 11:10;22;68;""Masarap tumulong kung ang tinutulungan ay tinutulungan ang sarili.. You make leaders out of yourselves and out of your children," said PRC Chairman @ DickGordonDG on # MayonPH affected families. pic.twitter.com/uzKLSXvtHe";;@;#;"971946335585775616";https://twitter.com/philredcross/status/971946335585775616
;2018-03-09 09:57;7;19;"HAPPENING NOW: Preparation for the distribution of emergency cash assistance to displaced families of # MayonPH eruption at Sto. Domingo Gym, Albay. pic.twitter.com/idubl2s24f";;;#;"971927836675067905";https://twitter.com/philredcross/status/971927836675067905
;2018-03-08 16:47;6;22;"We will continue to rise amidst adversities. Here's the newly constructed Temporary Learning Space (TLS) intended for the students of Albay.This learning space is an addition to the existing TLS in the area. It can accommodate up to 65 children affected by the # MayonPH eruption pic.twitter.com/vVp8lPCHYh";;;#;"971668748607172610";https://twitter.com/philredcross/status/971668748607172610
;2018-03-06 14:15;1;7;"Providing info. to the community about how we selected the beneficiaries is part of our accountability. @ philredcross Mayon operations team as assisted by the CEA & Comms team ensured that this info is shared to the displaced families of Mayon eruption. # CEA # InfoIsAid # MayonPh pic.twitter.com/P8yd9rrlPK";;@;# # #;"970905583799869440";https://twitter.com/rovingroxie/status/970905583799869440
;2018-03-06 13:14;4;18;"Your help brings hope. After discussing the process of relief distribution, Philippine Red Cross distributes beneficiary cards to displaced families of Mt. Mayon eruption at Albay. # MayonPH Photo credit: Roxy Nicolas pic.twitter.com/2FA0edQDOB";;;#;"970890320694013954";https://twitter.com/philredcross/status/970890320694013954
;2018-03-06 12:56;1;1;"Gathering the feedback of the community is crucial to improve our programming. @ philredcross Legazpi-Albay Chapter sees to it that each concern fr. the community is recorded. Action on the feedback will then be decided. Indeed, this is # CEA. # CommsIsAid # MayonPh # ReliefPhpic.twitter.com/jx4JE6my63";;@;# # # #;"970885870256467969";https://twitter.com/rovingroxie/status/970885870256467969
;2018-03-06 12:15;0;1;"Share joy and smiles to the affected families of Mayon summit explosion. Support the Red Cross Red Crescent Movement. Visit http://www.redcross.org.ph for more information # MayonPh # ReliefPhpic.twitter.com/QPw4MO2fDW";;;# #;"970875372207194113";https://twitter.com/rovingroxie/status/970875372207194113
