username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,data,,,,,
";2018-02-24 04:08;3;8;""# volcan # volcano # Mayon L'éruption se poursuit mais s'affaiblit progressivement/Eruption is ongoing but progressively weakens http://www.phivolcs.dost.gov.ph/index.php?option=com_content&view=article&id=8487:mayon-volcano-bulletin-23-february-2018-0800-am&catid=70:latest-volcano-bulletin&Itemid=500008 …pic.twitter.com/poLa3tdFKu"";;;# # #;""967129087792877568"";https://twitter.com/CultureVolcan/status/967129087792877568",,,,,,
";2018-02-22 11:02;9;8;""The Weekly Volcanic Activity Report: February 14 - 20"," 2018 http://dlvr.it/QHKYM3 # volcano # eruption # Sinabung # Mayon"";;;# # # #;""966508363176554497"";https://twitter.com/TheWatchers_/status/966508363176554497",,,,,
";2018-02-22 10:11;5;13;""# AustralianAid and @ UNFPAasia supporting women and their babies displaced by the # Mayon Volcano eruption in the Philippines. # SRHR http://philippines.unfpa.org/en/news/eruption-mayon-volcano-displaces-pregnant-women-and-new-mothers …pic.twitter.com/euTKj589vu"";;@;# # #;""966495670600257536"";https://twitter.com/AusHumanitarian/status/966495670600257536",,,,,,
";2018-02-21 18:30;5;20;""The United States government has pledged P5.2M in emergency assistance for victims of # Mayon volcano’s eruption. | via @ inquirerdotnet @ USAID_Manila # FriendsPartnersAllieshttp://globalnation.inquirer.net/164248/us-pledges-p5-2-m-aid-mayon-victims …"";;@ @;# #;""966258735021809665"";https://twitter.com/USEmbassyPH/status/966258735021809665",,,,,,
";2018-02-21 09:54;3;0;""# Philippines: Eruption In # Mayon Volcano Displaces Pregnant Women And New Mothers # Hazards https://www.riskmap.com/incidents/368325/?utm_campaign=riskmap_ …pic.twitter.com/bhxh8RzJqU"";;;# # #;""966128872327593985"";https://twitter.com/riskmap_/status/966128872327593985",,,,,,
";2018-02-20 15:06;0;0;""False color # Sentinel2 satellite image of # Mayon Volcano", dated Feb. 9," 2018. The reddish (or is it magenta-ish? idk lol) are the new lava deposits from the current eruption. More about this on: https://narode.co/2018/02/20/mayon-volcano-lava-flows/ …pic.twitter.com/aftpGiMC9x"";;;# #;""965845177813237760"";https://twitter.com/narodski/status/965845177813237760",,,,
";2018-02-18 03:04;0;2;""SInce 2018 Rings Of fire # UK 4.7 quake hits felt by 10 million people # Mexico hit third big # earthquake # Taiwan # Hualien # Indonesia # Sinabung Eruption West Java # Agung erupt # Philippines # mayon Volcano # Japan # Kusatsu-Shirane # Eruption # USA Alaska 7.9"";;;# # # # # # # # # # # # # #;""964938710440488960"";https://twitter.com/SachinSutar16/status/964938710440488960",,,,,,
";2018-02-15 21:07;9;7;""The Weekly Volcanic Activity Report: February 7 - 13"," 2018 http://dlvr.it/QGSm29 # volcano # eruption # Fuego # Kadovar # Mayon"";;;# # # # #;""964123909187518464"";https://twitter.com/TheWatchers_/status/964123909187518464",,,,,
";2018-02-14 19:02;4;7;""# Mayon # Volcano eruption # Sentinel-2 @ esa # COSMOSkyMed # satellite images @ ASI_Spazio @ telespazio # e_GEOS # Emergency # Mappingpic.twitter.com/Rc68SROOPo"";;@ @ @;# # # # # # # #;""963730234859229184"";https://twitter.com/e_geos/status/963730234859229184",,,,,,
";2018-02-14 00:22;28;90;""You wanna see some awesome # Mayon textures? How about some beautiful zoned orthopyroxene I'm studying from the 1978 eruption. I love the orientation of the pyroxene wrt each other. I use these zones to get a timescales before eruptions! Vote # Mayon in today's # VolcanoCuppic.twitter.com/u8DjobCdWh"";;;# # #;""963448264967286789"";https://twitter.com/rockdoc11/status/963448264967286789",,,,,,
";2018-02-14 00:01;4;2;""# Mayon # volcano (Philippines): eruption continues"," decreasing tendency - The volcanic activity has continued wit... http://j.mp/2CiT206"";;;# #;""963443026310959104"";https://twitter.com/volcanodiscover/status/963443026310959104",,,,,
";2018-02-13 23:57;11;20;""In the second to last map of maps for # VolcanoCup we have the current # hazard # maps for # Mayon # Taal and # Kanlaon volcanoes", broken down into individual hazards," and the preliminary hazard map used during the 1991 eruption of # Pinatubo.pic.twitter.com/YSpVxCR4PH"";;;# # # # # # #;""963442017593450496"";https://twitter.com/IAVCEI_Hazards/status/963442017593450496",,,,
";2018-02-13 22:04;0;11;""I also voted for # Mayon - Pinatubo certainly had its huge & very well studied 1991 eruption", but nothing much since. Mayon in the meantime has produced 6 major eruptions, including a deadly one in 1993. And yes, it's strikingly beautiful," both with & without eruption. # VolcanoCup"";;;# #;""963413500440834049"";https://twitter.com/etnaboris/status/963413500440834049",,
";2018-02-13 06:35;0;0;""Retweeted Strange Sounds ( @ Strange_Sounds): Enhanced volcanic activity of # Mayon # volcano # eruption... https://fb.me/HjOkJtRb"";;@;# # #;""963179701928910848"";https://twitter.com/Flassca/status/963179701928910848",,,,,,
";2018-02-12 18:40;3;4;""http://sundayex.catholic.org.hk/node/5130 Those displaced by eruption of # Mayon volcano in the # Philippines are in urgent need"";;;# #;""962999772549451776"";https://twitter.com/KaJuror/status/962999772549451776",,,,,,
";2018-02-11 00:35;0;0;""Eruption. # emmshin # Mayon # SuperBlueBloodMoon # inspired # test # painting # colors # moon # volcano… https://www.instagram.com/p/BfBeh1cFUCD/"";;;# # # # # # # # #;""962364431031152640"";https://twitter.com/emmshin/status/962364431031152640",,,,,,
";2018-02-10 19:17;8;5;""# Mayon # volcano (Philippines): eruption continues with little changes - The eruption continues with little chang... http://j.mp/2EhmIRn"";;;# #;""962284282420125696"";https://twitter.com/volcanodiscover/status/962284282420125696",,,,,,
";2018-02-10 03:16;1;0;""# Philippines L'éruption du volcan # Mayon continue sans faiblir"," 87 452 personnes évacuées # volcano # éruption v @ TheWatchers_ https://watchers.news/2018/02/09/mayon-eruption-continues-without-abating-87-452-people-evacuated/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/0K2o5vtWMO"";;@;# # # #;""962042511916060673"";https://twitter.com/AsiaNews_FR/status/962042511916060673",,,,,
";2018-02-10 03:08;27;18;""Mayon eruption continues without abating"," 87 452 people evacuated http://dlvr.it/QFjxFX # volcano # eruption # Mayon # Philippines"";;;# # # #;""962040432984080385"";https://twitter.com/TheWatchers_/status/962040432984080385",,,,,
";2018-02-10 00:02;0;0;""RT: Joseph Feeding JFM: REPORT: Feeding Outreach for # MayonVolcano evacuees at Taladong Evacuation Center", Brgy. Tumpa, # Camalig," #Albay#JFM # ReliefPH # Bicol # DisasterRelief # Mayon # Eruption # Charity # Outreach # Children # TheSupply # TheSupplyPH # JFMFoun... https://twitter.com/josephfeeding/status/961910946514968577#labnol …pic.twitter.com/svvSVw6bcI"";;;# # #Albay #JFM # # # # # # # # # # # #labnol;""961993745456562176"";https://twitter.com/HoneymoonGondol/status/961993745456562176",,,
";2018-02-09 19:21;0;0;""RT: Joseph Feeding JFM: REPORT: Feeding Outreach for # MayonVolcano evacuees at Taladong Evacuation Center", Brgy. Tumpa, # Camalig," #Albay#JFM # ReliefPH # Bicol # DisasterRelief # Mayon # Eruption # Charity # Outreach # Children # TheSupply # TheSupplyPH # JFMFoun... http://twib.in/l/Rn89Epjpdpre pic.twitter.com/6B5ANrCuHW"";;;# # #Albay #JFM # # # # # # # # # # #;""961922998151319552"";https://twitter.com/HoneymoonGondol/status/961922998151319552",,,
";2018-02-09 19:07;0;1;""# Mayon # volcano (Philippines): eruption continues"," lava fountaining and pyroclastic flows - The eruption of the ... http://j.mp/2Ee3Um3"";;;# #;""961919368396443649"";https://twitter.com/NewsKali/status/961919368396443649",,,,,
";2018-02-09 18:55;0;0;""RT: Joseph Feeding JFM: REPORT: Feeding Outreach for # MayonVolcano evacuees at Taladong Evacuation Center", Brgy. Tumpa, # Camalig," #Albay#JFM # ReliefPH # Bicol # DisasterRelief # Mayon # Eruption # Charity # Outreach # Children # TheSupply # TheSupplyPH # JFMFoun... https://twitter.com/josephfeeding/status/961910946514968577#labnol …pic.twitter.com/GSaXVniUMa"";;;# # #Albay #JFM # # # # # # # # # # # #labnol;""961916355770552320"";https://twitter.com/HoneymoonGondol/status/961916355770552320",,,
";2018-02-09 18:33;3;2;""REPORT: Feeding Outreach for # MayonVolcano evacuees at Taladong Evacuation Center", Brgy. Tumpa, # Camalig," # Albay # JFM # ReliefPH # Bicol # DisasterRelief # Mayon # Eruption # Charity # Outreach # Children # TheSupply # TheSupplyPH # JFMFoundation # FoundationPH # NGO # Philippines # Lovepic.twitter.com/RNHePEPnNa"";;;# # # # # # # # # # # # # # # # # # #;""961910946514968577"";https://twitter.com/josephfeeding/status/961910946514968577",,,
";2018-02-09 18:23;20;22;""# Mayon # volcano (Philippines): eruption continues"," lava fountaining and pyroclastic flows - The eruption of the ... http://j.mp/2Ee3Um3"";;;# #;""961908347791388673"";https://twitter.com/volcanodiscover/status/961908347791388673",,,,,
";2018-02-08 14:30;0;0;""( # Volcano’s # Spectacular #...) - https://xtrenz.com/2018/02/08/volcanos-spectacular-fiery-display-threatens-56k-in-the-philippines-nbc-news/ … # ActiveVolcanoesInThePhilippines # Asia # BreakingNews # CurrentEvents # Eruption # Lava # LavaBlast # Magma # MaounthMayonVolcano # Mayon # MayonVolcano # MayonVolcanoEruption # MountMayon # NBCNews # NBCNewsOriginals # NBCOriginalspic.twitter.com/lhyd2Vu3zY"";;;# # # # # # # # # # # # # # # # # # #;""961487411971735552"";https://twitter.com/xtrenz/status/961487411971735552",,,,,,
";2018-02-08 08:33;2;1;""In all the # VolcanoCup excitement"," don't forget the real dangers active at this time. Latest # Mayon update today reports continuing sustained inflation despite semi-continuous eruption; it's going in faster than it's coming out: http://albay.gov.ph/mayon-volcano-bulletin-06-february-2018-0800-a-m/ …"";;;# #;""961397546860998657"";https://twitter.com/eruptionchaser/status/961397546860998657",,,,,
