username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,data
;2018-01-12 07:54;0;0;"Balik albay na. Feeling ready, pero hindi naman talaga. Hahaha";;;;"951603315170672640";https://twitter.com/anniemaezing/status/951603315170672640
;2018-01-12 07:47;0;1;"Emekli albay gibi bu da aq hep şikayet şikayet bir kerede çözüm getir ya. Boşuna mı bilim adamisin işini yap ağlama tek yumrukla alırım canını";;;;"951601496407277568";https://twitter.com/Hamsik099/status/951601496407277568
;2018-01-12 07:16;0;0;"Thank you, @itsmeVaneRoxas ! @Legazpi, Albay https://www.instagram.com/p/Bd08jijA8oO7T_8Kdi-bqK4V7TJz5YgQl7XETg0/ …";;@itsmeVaneRoxas @Legazpi;;"951593766506450945";https://twitter.com/zyrahg_/status/951593766506450945
;2018-01-12 07:03;0;1;"Youtube>search>20 dakika kedi albay işkence>önerilenler>bütün sahneler";;;;"951590353286696961";https://twitter.com/SeybanRanim38/status/951590353286696961
;2018-01-12 06:58;0;3;"Oo taga Albay ako and I get to see this scenery almost every day pero, shit every time na makikita ko ang Mayon Volcano w/ clear view natutulala pa din ako";;;;"951589253296799745";https://twitter.com/RaymondAgnote/status/951589253296799745
;2018-01-12 06:40;0;0;"# EmsalKarar kuddusi okkırin Albay Ali tatarin da soz hakkı vardi masumiyeti vardi ama bu cakal altanlar hergun haklarinda yadilar serefleriyle oynadilar....bunlar gazeteci degil alcak alcak";;;#;"951584626321084417";https://twitter.com/KurtulusAkn2/status/951584626321084417
;2018-01-12 06:38;0;0;"Ne diyor bu adam? Neden "Profesör olacağıma keşke bir ALBAY olsaymışım" diyor? https://youtu.be/GtJO4zNx2pE";;;;"951584221927272448";https://twitter.com/ilhan_ulgen/status/951584221927272448
;2018-01-12 06:37;0;0;"# onlyinthephilippines @Legazpi, Albay https://www.instagram.com/p/Bd04DyOgWIFi4uQzZIYACvzMfxPwdfLFJtqKQE0/ …";;@Legazpi;#;"951583773816229888";https://twitter.com/mrsadiasitjar/status/951583773816229888
;2018-01-12 06:08;0;1;"..ya da sağlıklı bir kayıt tutulmadığını rahatlıkla anlayabiliyoruz. (Emekli Albay Koray Özyurt’un verilerinden istifade ettik.) NV";;;;"951576512997797889";https://twitter.com/Ramazan_Ezin/status/951576512997797889
;2018-01-12 05:07;0;1;"Orta yaşlı amcadan çok huysuz emekli albay gibi davranmayın o zaman.";;;;"951561349318012929";https://twitter.com/SureyyaOlcayto/status/951561349318012929
;2018-01-12 04:39;0;0;"7 people followed me and 6 people unfollowed me // automatically checked byhttp://fllwrs.com";;;;"951554239406465025";https://twitter.com/Hamoda_Albay/status/951554239406465025
;2018-01-12 04:22;0;0;"Albay karaoğlanoğlu caddesininde refüjle ikiye bölünmesi gerekiyor Diş Hastanesi tarafı ve Yenişehir yönü olarak";;;;"951549891821686784";https://twitter.com/78Dyldz/status/951549891821686784
;2018-01-12 04:20;0;0;"ALBAY.";;;;"951549436714520578";https://twitter.com/MUZAFFERLGN1/status/951549436714520578
;2018-01-12 04:01;0;4;"Bu Yüzbaşı kendini Albay Stavros mu zannediyor Hilal Leon HiLeon # SevdamızVatan";;;#;"951544741619011584";https://twitter.com/evrendekipanda/status/951544741619011584
;2018-01-12 03:53;0;1;"Albay cevdet bey diceksin aq cocu";;;;"951542645200969729";https://twitter.com/OnrhnKrn/status/951542645200969729
;2018-01-12 03:48;0;0;"Bunu söyleyen üst düzey ise Albay üzeri yalancıdır,askerlik yaptıysan bilirsin emir sorgulamaya kalkarsan ipini çekerler sürünürsün terörist ilan edilirsin,bildiğin düz ast.sby çvş bir binbaşının emrini sorgulasın ya bak bakalım neler oluyor?";;;;"951541361723019266";https://twitter.com/yetkin0063/status/951541361723019266
;2018-01-12 03:43;5;43;"Emin amca annemin amca oğlu idi. 12 Eylül öncesinin kutuplaşma döneminde sol cenahta yer almıştı. Köyün gençleri üzerinde bir hayli etkili idi. Bizimkiler Albay Türkeş’in esaslı taraftarlarındandı.";;;;"951540044753489920";https://twitter.com/teroretavizyok_/status/951540044753489920
;2018-01-12 03:23;0;5;"'Cabir atımı hazırla gidiyoruz!' /J.Kurmay Albay H.E.";;;;"951535039531159552";https://twitter.com/DikciCabir/status/951535039531159552
;2018-01-12 03:08;0;0;"Beyinsiz mahlukat,Tıp,Feza,Cerrahi,Fizik ve birçok bilim dalında ilk"leri yapanlar müslümanlar'ken sen Yahudi götü yalama hastalığına tutulmuş sun,Albay olamadınmı daha,bu süreçte ?";;;;"951531220164333569";https://twitter.com/apaydinfevzi/status/951531220164333569
;2018-01-12 02:48;3;8;"50.Yıl İlkokulunda Şehit Üsteğmen Çağlayan Irmak'ın adını yaşatacak olan Kütüphane'ye, Burdur İl Jandarma Komutanı Albay Orhan Kılıç tarafından 500 kitap Gönderildiği açıklandı. Şehidin adını yaşatanlara teşekkürler. @ jandarma @ TayfunDUNDAR17pic.twitter.com/T63BnFONv9";;@ @;;"951526173317718016";https://twitter.com/ituncoglu/status/951526173317718016
;2018-01-12 02:33;0;1;"Cevdet albay, tam baba konuşması yaptın. Gözlerim doldu terbiyesiz olayım ki. # SevdamızVatan # VatanımSensin";;;# #;"951522567851999232";https://twitter.com/sen_ol_baytar/status/951522567851999232
;2018-01-12 02:24;0;1;"Hiç bir şey iç savaş dan tehlikeli olamaz. Albay Cevdet Vatanım Sensin # SevdamızVatan";;;#;"951520248271966208";https://twitter.com/IsmailYemem/status/951520248271966208
;2018-01-12 02:10;0;0;"RAIN WARNING: The surge of the # Amihan has triggered an Orange & Red Rain Alerts across Camarines Provinces, Albay and Catanduanes - today through Saturday Early Morning (Jan 13). For more info: https://goo.gl/pBc7Dg Stay safe, everyone! # WeatherAlert # WeatherWiserpic.twitter.com/SvMRGtwZ9l";;;# # #;"951516633599627264";https://twitter.com/WeatherPH/status/951516633599627264
;2018-01-12 02:01;1;0;"Tokat T Tipi Çamlıbel Cezaevi’nde yalnız kaldığı hücrede ölü bulunan Kastamonu Jandarma Bölge Komutanlığı eski Kurmay Başkanı Albay İrfan Kızılarslan’ın ayakkabı bağcığı ile kendisini pencereye asarak intihar ettiği iddia edildi. # OHALdeBitenHayatlarpic.twitter.com/4BPKAf2NrB";;;#;"951514318964707328";https://twitter.com/akiff_durmaz/status/951514318964707328
;2018-01-12 02:00;0;0;"Nerdesin albay bizim işler yolunda değil";;;;"951514231043747846";https://twitter.com/yaman6280/status/951514231043747846
;2018-01-12 01:38;0;2;"Kime değer vermeye kalktıysak itin götüne soktular Albay’ım...";;;;"951508582821920768";https://twitter.com/_kaMiLka/status/951508582821920768
