username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,data,,,,,
";2018-10-03 18:00;0;1;""Uwi kana"," taposin niyo na yan na ginagawa niyo https://twitter.com/nikkaaaajane/status/1047423893059686400 …"";;;;""1047426066992648192"";https://twitter.com/nikkiiimaeee/status/1047426066992648192",,,,,
";2018-10-03 17:58;0;0;"""";;;;""1047425588753969153"";https://twitter.com/nikkiiimaeee/status/1047425588753969153",,,,,,
";2018-10-02 20:43;0;0;""My stress reliever"";;;;""1047104774275911681"";https://twitter.com/nikkiiimaeee/status/1047104774275911681",,,,,,
";2018-10-01 12:23;0;0;""so clumy"";;;;""1046616650366115840"";https://twitter.com/nikkiiimaeee/status/1046616650366115840",,,,,,
";2018-09-30 23:27;0;1;""Oh my Donny https://twitter.com/donnypangilinan/status/1046315667572457472 …"";;;;""1046421386581835777"";https://twitter.com/nikkiiimaeee/status/1046421386581835777",,,,,,
";2018-09-30 10:06;0;1;""Ika na maging estudyante! agang aga isus"";;;;""1046219651426861056"";https://twitter.com/nikkiiimaeee/status/1046219651426861056",,,,,,
";2018-09-29 23:53;0;1;""thank you po ate"";;;;""1046065467834716160"";https://twitter.com/nikkiiimaeee/status/1046065467834716160",,,,,,
";2018-09-29 08:00;0;0;""aha"";;;;""1045825619093639168"";https://twitter.com/nikkiiimaeee/status/1045825619093639168",,,,,,
";2018-09-29 00:10;0;1;"""";;;;""1045707305868640256"";https://twitter.com/nikkiiimaeee/status/1045707305868640256",,,,,,
";2018-09-27 23:04;0;2;""+++ for late dindin"";;;;""1045328338368131072"";https://twitter.com/nikkiiimaeee/status/1045328338368131072",,,,,,
";2018-09-27 12:25;0;2;""Hala churiii https://twitter.com/nikkaaaajane/status/1045113239367905280 …"";;;;""1045167424096489473"";https://twitter.com/nikkiiimaeee/status/1045167424096489473",,,,,,
";2018-09-27 08:08;0;1;""arot san"";;;;""1045102792321335296"";https://twitter.com/nikkiiimaeee/status/1045102792321335296",,,,,,
";2018-09-27 00:43;0;1;"""";;;;""1044990830434373633"";https://twitter.com/nikkiiimaeee/status/1044990830434373633",,,,,,
";2018-09-26 23:20;0;5;""Di ako informed na may rehearsals kanina"," naka uniform nanaman ako"";;;;""1044969975050424325"";https://twitter.com/nikkiiimaeee/status/1044969975050424325",,,,,
";2018-09-26 18:18;0;1;""Mood drop"";;;;""1044893944981610496"";https://twitter.com/nikkiiimaeee/status/1044893944981610496",,,,,,
";2018-09-25 21:57;0;5;""Panira ng convo tong signal"";;;;""1044586790936502279"";https://twitter.com/nikkiiimaeee/status/1044586790936502279",,,,,,
";2018-09-25 20:27;0;0;""Buttered cooorn"";;;;""1044564096891277312"";https://twitter.com/nikkiiimaeee/status/1044564096891277312",,,,,,
";2018-09-24 23:00;0;3;"""";;;;""1044240142603452416"";https://twitter.com/nikkiiimaeee/status/1044240142603452416",,,,,,
";2018-09-24 20:31;0;2;""Multitasking"";;;;""1044202679029780480"";https://twitter.com/nikkiiimaeee/status/1044202679029780480",,,,,,
";2018-09-24 00:04;0;0;""huy fren sleep na"";;;;""1043893801184452608"";https://twitter.com/nikkiiimaeee/status/1043893801184452608",,,,,,
